decile,min_resp,max_resp,avg_resp,cnt,cnt_resp,cnt_non_resp,rrate,cum_resp,cum_non_resp,cum_rel_resp,cum_rel_non_resp,KS
0,21.0,26.0,23.73,2000.0,67.0,1933.0,3.35%,67.0,1933.0,7.545%,10.114%,2.569000000000001%
1,26.0,29.0,27.42,2000.0,71.0,1929.0,3.55%,138.0,3862.0,15.541%,20.207%,4.666%
2,29.0,32.0,30.242,2000.0,61.0,1939.0,3.05%,199.0,5801.0,22.41%,30.353%,7.943000000000001%
3,32.0,34.0,32.994,2000.0,74.0,1926.0,3.7%,273.0,7727.0,30.743%,40.43%,9.687000000000001%
4,34.0,38.0,36.04,2000.0,109.0,1891.0,5.45%,382.0,9618.0,43.018%,50.324%,7.305999999999997%
5,38.0,41.0,39.632,2000.0,104.0,1896.0,5.2%,486.0,11514.0,54.73%,60.245%,5.515000000000001%
6,41.0,45.0,43.054,2000.0,158.0,1842.0,7.9%,644.0,13356.0,72.523%,69.883%,2.6400000000000006%
7,45.0,49.0,46.52,2000.0,95.0,1905.0,4.75%,739.0,15261.0,83.221%,79.85%,3.3710000000000093%
8,49.0,52.0,50.502,2000.0,89.0,1911.0,4.45%,828.0,17172.0,93.243%,89.849%,3.3939999999999912%
9,52.0,55.0,53.828,2000.0,60.0,1940.0,3.0%,888.0,19112.0,100.0%,100.0%,0.0%
