decile,min_resp,max_resp,avg_resp,cnt,cnt_resp,cnt_non_resp,rrate,cum_resp,cum_non_resp,cum_rel_resp,cum_rel_non_resp,KS
0,0.0,7242.29,3740.6971000000003,2000.0,173.0,1827.0,8.65%,173.0,1827.0,19.482%,9.559%,9.923%
1,7257.38,16751.35,11557.294820000016,2000.0,154.0,1846.0,7.7%,327.0,3673.0,36.824%,19.218%,17.605999999999998%
2,16777.71,31024.59,23667.964740000018,2000.0,103.0,1897.0,5.15%,430.0,5570.0,48.423%,29.144%,19.279000000000003%
3,31131.81,49915.13,40430.926699999975,2000.0,107.0,1893.0,5.35%,537.0,7463.0,60.473%,39.049%,21.424%
4,50014.04,79749.48,64493.30656000017,2000.0,78.0,1922.0,3.9%,615.0,9385.0,69.257%,49.105%,20.152000000000008%
5,79762.01,119301.91,97602.31170000002,2000.0,96.0,1904.0,4.8%,711.0,11289.0,80.068%,59.068%,21.0%
6,119470.79,181225.56,148901.69523999968,2000.0,43.0,1957.0,2.15%,754.0,13246.0,84.91%,69.307%,15.602999999999994%
7,181313.1,245500.0,214182.8667600002,2000.0,72.0,1928.0,3.6%,826.0,15174.0,93.018%,79.395%,13.623000000000005%
8,245500.0,392261.5,308857.06892000034,2000.0,48.0,1952.0,2.4%,874.0,17126.0,98.423%,89.609%,8.814000000000007%
9,392588.73,1246966.77,548378.923719999,2000.0,14.0,1986.0,0.7%,888.0,19112.0,100.0%,100.0%,0.0%
