decile,min_resp,max_resp,avg_resp,cnt,cnt_resp,cnt_non_resp,rrate,cum_resp,cum_non_resp,cum_rel_resp,cum_rel_non_resp,KS
0,0.0,3.0,1.091,2000.0,190.0,1810.0,9.5%,190.0,1810.0,21.396%,9.47%,11.926%
1,3.0,6.0,4.336,2000.0,143.0,1857.0,7.15%,333.0,3667.0,37.5%,19.187%,18.313%
2,6.0,9.0,7.5695,2000.0,137.0,1863.0,6.85%,470.0,5530.0,52.928%,28.935%,23.993%
3,9.0,13.0,10.8855,2000.0,97.0,1903.0,4.85%,567.0,7433.0,63.851%,38.892%,24.958999999999996%
4,13.0,16.0,14.3065,2000.0,91.0,1909.0,4.55%,658.0,9342.0,74.099%,48.88%,25.219%
5,16.0,18.0,17.309,2000.0,69.0,1931.0,3.45%,727.0,11273.0,81.869%,58.984%,22.884999999999998%
6,18.0,21.0,19.2045,2000.0,53.0,1947.0,2.65%,780.0,13220.0,87.838%,69.171%,18.666999999999987%
7,21.0,25.0,22.6825,2000.0,40.0,1960.0,2.0%,820.0,15180.0,92.342%,79.427%,12.914999999999992%
8,25.0,28.0,26.2835,2000.0,42.0,1958.0,2.1%,862.0,17138.0,97.072%,89.671%,7.400999999999996%
9,28.0,31.0,29.7295,2000.0,26.0,1974.0,1.3%,888.0,19112.0,100.0%,100.0%,0.0%
