decile,min_resp,max_resp,avg_resp,cnt,cnt_resp,cnt_non_resp,rrate,cum_resp,cum_non_resp,cum_rel_resp,cum_rel_non_resp,KS
0.0,0.0,2.0,0.9921052631578947,1900.0,175.0,1725.0,9.211%,175.0,1725.0,20.516%,9.506%,11.009999999999998%
1.0,2.0,6.0,4.088947368421053,1900.0,147.0,1753.0,7.737%,322.0,3478.0,37.749%,19.166%,18.583000000000002%
2.0,6.0,9.0,7.178421052631579,1900.0,130.0,1770.0,6.842%,452.0,5248.0,52.989%,28.919%,24.069999999999997%
3.0,9.0,12.0,10.321052631578947,1900.0,99.0,1801.0,5.211%,551.0,7049.0,64.596%,38.844%,25.752000000000002%
4.0,12.0,15.0,13.544210526315789,1900.0,79.0,1821.0,4.158%,630.0,8870.0,73.857%,48.879%,24.978%
5.0,15.0,18.0,16.609473684210528,1900.0,76.0,1824.0,4.0%,706.0,10694.0,82.767%,58.93%,23.836999999999996%
6.0,18.0,21.0,19.74157894736842,1900.0,39.0,1861.0,2.053%,745.0,12555.0,87.339%,69.185%,18.153999999999996%
7.0,21.0,25.0,23.192105263157895,1900.0,48.0,1852.0,2.526%,793.0,14407.0,92.966%,79.391%,13.574999999999989%
8.0,25.0,28.0,26.50894736842105,1900.0,34.0,1866.0,1.789%,827.0,16273.0,96.952%,89.673%,7.278999999999996%
9.0,28.0,31.0,29.820526315789472,1900.0,26.0,1874.0,1.368%,853.0,18147.0,100.0%,100.0%,0.0%
