decile,min_resp,max_resp,avg_resp,cnt,cnt_resp,cnt_non_resp,rrate,cum_resp,cum_non_resp,cum_rel_resp,cum_rel_non_resp,KS
0,0.0,3.0,1.086,2000.0,19.0,1981.0,0.95%,19.0,1981.0,2.14%,10.365%,8.225%
1,3.0,6.0,4.0395,2000.0,33.0,1967.0,1.65%,52.0,3948.0,5.856%,20.657%,14.801%
2,6.0,8.0,6.955,2000.0,62.0,1938.0,3.1%,114.0,5886.0,12.838%,30.797%,17.959000000000003%
3,8.0,11.0,9.6085,2000.0,69.0,1931.0,3.45%,183.0,7817.0,20.608%,40.901%,20.293000000000003%
4,11.0,13.0,12.064,2000.0,73.0,1927.0,3.65%,256.0,9744.0,28.829%,50.984%,22.155%
5,13.0,16.0,14.8325,2000.0,83.0,1917.0,4.15%,339.0,11661.0,38.176%,61.014%,22.838%
6,16.0,19.0,17.819,2000.0,102.0,1898.0,5.1%,441.0,13559.0,49.662%,70.945%,21.282999999999994%
7,19.0,27.0,22.154,2000.0,112.0,1888.0,5.6%,553.0,15447.0,62.275%,80.824%,18.549%
8,27.0,38.0,33.092,2000.0,150.0,1850.0,7.5%,703.0,17297.0,79.167%,90.503%,11.335999999999999%
9,38.0,50.0,44.529,2000.0,185.0,1815.0,9.25%,888.0,19112.0,100.0%,100.0%,0.0%
