decile,min_resp,max_resp,avg_resp,cnt,cnt_resp,cnt_non_resp,rrate,cum_resp,cum_non_resp,cum_rel_resp,cum_rel_non_resp,KS
0,100.0,194.0,146.2665,2000.0,35.0,1965.0,1.75%,35.0,1965.0,3.941%,10.281%,6.340000000000001%
1,194.0,288.0,241.8025,2000.0,30.0,1970.0,1.5%,65.0,3935.0,7.32%,20.589%,13.268999999999998%
2,288.0,376.0,332.6025,2000.0,55.0,1945.0,2.75%,120.0,5880.0,13.514%,30.766%,17.252%
3,376.0,468.0,421.2,2000.0,78.0,1922.0,3.9%,198.0,7802.0,22.297%,40.823%,18.526%
4,468.0,560.0,513.614,2000.0,80.0,1920.0,4.0%,278.0,9722.0,31.306%,50.869%,19.563%
5,560.0,651.0,605.3835,2000.0,74.0,1926.0,3.7%,352.0,11648.0,39.64%,60.946%,21.305999999999997%
6,651.0,741.0,696.912,2000.0,102.0,1898.0,5.1%,454.0,13546.0,51.126%,70.877%,19.750999999999998%
7,742.0,826.0,784.252,2000.0,124.0,1876.0,6.2%,578.0,15422.0,65.09%,80.693%,15.602999999999994%
8,826.0,916.0,871.562,2000.0,144.0,1856.0,7.2%,722.0,17278.0,81.306%,90.404%,9.097999999999999%
9,916.0,999.0,957.7655,2000.0,166.0,1834.0,8.3%,888.0,19112.0,100.0%,100.0%,0.0%
